,,,
,,,
title,Home,Image: Finial in text (avenir next font?),h1
title,Home,Bespoke - Off-site - Sustainable,p
,,,
page1,Site Specific,London Skyline,img
page1,Site Specific,"We design, construct and develop specific solutions for complex sites. Our multi-disciplinary team follows a digitized design and construction process, making use of the latest technology in construction to unlock complex locations, quickly and at low development risk.",p
,,,
page2,Production,Factory shot of a CNC machine/TH factory interior,img
page2,Production,Custom drawing of a service core with a dotted envelope and street scene (this could also appear as a more complete render on the first page),img
page2,Production,"Our expertise is in design, modular building architecture and innovative timber engineering. We pre-assemble our structures off-site for a high-quality finish and a fast installation. Due to innovations in machine cutting and advances in design software these structures can be geometrically complex and bespoke to each site.",p
,,,
page3,Sustainability,CLT lined interior surface finish (see Detail magazine module book),img
page3,Sustainability,"We are passionate about a holistic approach to sustainability. Sustainability in buildings is more complex than most other domains and is often poorly understood. It must take into account operational and embodied energy during the construction and the life of the building. In the jargon, it rests upon a number of dynamic contingencies. None of us know for certain what the future energy mix will be, the true lifespan of our buildings, the possibilities for future recycling, or the embodied carbon cost of our modern supply chains. Nonetheless it is possible through rigorous scenario planning, access to expertise and advanced digital modelling to make highly educated guesses. This process is at the heart of what we do and also how we do it.",p
page3,Sustainability,"In many ways our approach is inherently sustainable with a much lower impact than other forms of development. Off-site construction saves 30% on building waste (WRAP statistic). 45% of all UK building waste is from construction (WRAP statistic). Re-using existing building through roof-top and other extensions saves a huge amount of embodied energy. We are committed to using low-carbon and low pollutant materials in our supply chain and making use of the most appropriate tools fo heating and cooling. Above all, we design for change, building in carbon assessment into our lifecycle modelling, considering both future building use and disassembly.",p
,,,
page4,About,,
page4,About,"Finial was started by two Cambridge graduates, a software engineer and Architect with experience in new mapping technology and off-site construction, with a belief that the quiet technological revolution currently happening in the construction industry opens up sites that traditionally would have been closed off to development as to difficult to build on. We enjoy solving this challenge and know it offers a route to a more sustainable urbanity.",p
